year,country,region,happiness_rank,happiness_score,standard_error_of_happiness_score,lower_confidence_interval,upper_confidence_interval,dystopia_residual,explained_by_freedom_to_make_life_choices,explained_by_gdp_per_capita,explained_by_generosity,explained_by_healthy_life_expectancy,explained_by_perceptions_of_corruption,explained_by_social_support,freedom_to_make_life_choices,generosity,healthy_life_expectancy,perceptions_of_corruption,social_support,logged_gdp_per_capita,ladder_score_in_dystopia,id
2020,Finland,West Europe,1,7.808700085,0.031156305,7.7476339340000004,7.869766235,2.762835026,0.66231674,1.285189509,0.159670442,0.961271405,0.477857262,1.499525905,0.949172199,-0.059482019,71.9008255,0.195444584,0.954329729,10.63926697,1.972316742,246
2020,Denmark,West Europe,2,7.645599842,0.033492286,7.579955101,7.711244583,2.432740688,0.665039897,1.326948524,0.242793396,0.979332566,0.495260328,1.503449202,0.951444268,0.066201776,72.40250397,0.168489456,0.955990791,10.77400112,1.972316742,208
2020,Switzerland,West Europe,3,7.559899807,0.035014171,7.491271973,7.628527641,2.35026741,0.62895447,1.39077425,0.269055754,1.040533185,0.407945901,1.472403407,0.921336651,0.105911039,74.10244751,0.303728431,0.942846596,10.97993279,1.972316742,756
2020,Iceland,West Europe,4,7.504499912,0.059615862,7.387652874,7.621346951,2.460688114,0.661980748,1.326501608,0.362330228,1.000843406,0.144540772,1.547567487,0.948891878,0.246944219,73,0.711709738,0.974669576,10.77255917,1.972316742,352
2020,Norway,West Europe,5,7.487999916,0.034837384,7.419718742,7.55628109,2.168266296,0.670200884,1.42420733,0.287985086,1.008071899,0.434100568,1.495172501,0.955750287,0.13453263,73.20078278,0.263218194,0.952486575,11.08780384,1.972316742,578
2020,Netherlands,West Europe,6,7.448900223,0.02779175,7.394428253,7.503372192,2.352117062,0.61362648,1.338946342,0.336317569,0.975675344,0.368569762,1.463645935,0.908547819,0.20761244,72.30091858,0.364717126,0.93913883,10.81271172,1.972316742,528
2020,Sweden,West Europe,7,7.353499889,0.036234196,7.282480717,7.424519062,2.246299267,0.650297701,1.322235227,0.272827893,0.986470461,0.442066371,1.433347702,0.939144194,0.111614622,72.60076904,0.250880182,0.926311195,10.75879383,1.972316742,752
2020,New Zealand,Australia and New Zealand,8,7.299600124,0.039465468,7.222247601,7.376952648,2.128108025,0.646789908,1.242317915,0.325726211,1.008138299,0.461268276,1.48721838,0.936217487,0.191598073,73.20262909,0.22113885,0.949118972,10.50094318,1.972316742,554
2020,Austria,West Europe,9,7.294199944,0.033365164,7.228804111,7.359595776,2.398446083,0.603368878,1.317285538,0.255509764,1.000933528,0.281256139,1.437444925,0.899989486,0.085429221,73.00250244,0.499954879,0.928045869,10.7428236,1.972316742,40
2020,Luxembourg,West Europe,10,7.237500191,0.030851794,7.177030563,7.297969818,2.153700352,0.610137045,1.536676049,0.19595392,0.986442685,0.367041469,1.387528419,0.90563643,-0.004620588,72.59999847,0.367084295,0.906912208,11.45068073,1.972316742,442
2020,Canada,North America,11,7.23210001,0.04040546,7.152905464,7.311294556,2.195269108,0.644028127,1.301647663,0.28152892,1.022501945,0.351701856,1.435391903,0.933913231,0.124770768,73.60160065,0.390843362,0.927176654,10.69236851,1.972316742,124
2020,Australia,Australia and New Zealand,12,7.222799778,0.041841116,7.140791416,7.30480814,2.129804134,0.621877193,1.310396433,0.324973613,1.022607684,0.335996419,1.477146268,0.915431738,0.19046016,73.60453796,0.41516912,0.944854617,10.72059631,1.972316742,36
2020,United Kingdom,West Europe,13,7.164500237,0.037161909,7.091662884,7.237337589,2.236721992,0.525168657,1.273061037,0.373433441,0.97570008,0.322601646,1.457844973,0.834743679,0.263732493,72.30160522,0.435915917,0.93668282,10.60013485,1.972316742,826
2020,Israel,Middle East and North Africa,14,7.128600121,0.042515181,7.045270443,7.211929798,2.713358402,0.420699477,1.216463685,0.266861796,1.008052945,0.09989845,1.403256774,0.747580588,0.10259372,73.20025635,0.78085506,0.913571239,10.41752529,1.972316742,376
2020,Costa Rica,Latin America and Caribbean,15,7.121399879,0.044816118,7.033560276,7.209239483,2.953135014,0.645017743,0.981107712,0.131266311,0.939635336,0.096362092,1.374853611,0.934738934,-0.10242971,71.29985046,0.786332428,0.901545942,9.658156395,1.972316742,188
2020,Ireland,West Europe,16,7.093699932,0.039863452,7.01556778,7.171832085,1.943878174,0.587779939,1.446886778,0.295426995,0.975670695,0.373433262,1.470596433,0.886982977,0.145784974,72.30078888,0.357184172,0.942081571,11.16097832,1.972316742,372
2020,Germany,West Europe,17,7.075799942,0.035609804,7.00600481,7.145595074,2.295249462,0.564274132,1.314184546,0.252037704,0.972114801,0.309362292,1.368543744,0.867371082,0.080179386,72.20201874,0.456422031,0.898874462,10.7328186,1.972316742,276
2020,United States,North America,18,6.939599991,0.047316168,6.846860409,7.032339573,2.344124794,0.534608245,1.37398684,0.298143059,0.831618011,0.152284741,1.404786706,0.842619538,0.149891734,68.29949951,0.699715316,0.914219022,10.92576885,1.972316742,840
2020,Czech Republic,Central and East Europe,19,6.910900116,0.042891297,6.826833248,6.994966984,2.796808243,0.505744576,1.212322354,0.046325929,0.89456445,0.049803223,1.40528667,0.818537354,-0.230861515,70.04793549,0.85844624,0.914430678,10.40416336,1.972316742,203
2020,Belgium,West Europe,20,6.863500118,0.034370355,6.796133995,6.930866241,2.348626614,0.499805421,1.295842767,0.146966159,0.964901149,0.208724052,1.398677588,0.813582063,-0.078691199,72.00164795,0.612297952,0.911632538,10.6736393,1.972316742,56
2020,United Arab Emirates,Middle East and North Africa,21,6.790800095,0.040698379,6.711031437,6.870568752,2.166965961,0.652936101,1.431086421,0.28065598,0.787814438,0.220213518,1.251170993,0.941345513,0.123450845,67.08278656,0.594502211,0.849181116,11.1099987,1.972316742,784
2020,Malta,West Europe,22,6.772799969,0.042958103,6.688601971,6.856997967,1.952012062,0.633239031,1.252513289,0.341180831,0.972042024,0.178864077,1.442956924,0.924911439,0.214965805,72.19999695,0.658547282,0.93037951,10.53383827,1.972316742,470
2020,France,West Europe,23,6.663799763,0.037576791,6.590149403,6.737450123,2.053198338,0.514050901,1.268129349,0.112607703,1.029714227,0.227303237,1.458839178,0.825467646,-0.130641967,73.80193329,0.583521128,0.937103748,10.58422279,1.972316742,250
2020,Mexico,Latin America and Caribbean,24,6.465000153,0.048122469,6.370680332,6.559319973,2.662540197,0.553892553,1.024387479,0.083094485,0.831601024,0.083133668,1.226333499,0.858709276,-0.175266623,68.29902649,0.806821585,0.838665426,9.797797203,1.972316742,484
2020,Taiwan,East Asia,25,6.45539999,0.039139576,6.378686428,6.532113552,2.160238743,0.449404389,1.327470541,0.150598705,0.878437996,0.131516352,1.357760668,0.77153033,-0.073198698,69.59999847,0.73188293,0.894309103,10.77568531,1.972316742,158
2020,Uruguay,Latin America and Caribbean,26,6.440100193,0.045419082,6.351078987,6.529121399,2.167276382,0.59426707,1.071000457,0.132143691,0.856928885,0.193425074,1.425081134,0.892395437,-0.101103112,69.00254822,0.635994136,0.92281127,9.948192596,1.972316742,858
2020,Saudi Arabia,Middle East and North Africa,27,6.406499863,0.056533612,6.295693874,6.517305851,2.203118801,0.548477471,1.334328532,0.087440684,0.759818137,0.163322315,1.309950113,0.854191244,-0.168695062,66.30514526,0.682619512,0.874067068,10.79781246,1.972316742,682
2020,Spain,West Europe,28,6.400899887,0.04230037,6.317991257,6.483808517,1.997088432,0.425983816,1.230535269,0.16530548,1.051343083,0.109579779,1.421099186,0.751989543,-0.050961714,74.40270996,0.765859902,0.921125412,10.46292686,1.972316742,724
2020,Guatemala,Latin America and Caribbean,29,6.398900032,0.058398303,6.284439564,6.5133605,2.882723093,0.613146722,0.753815711,0.170611665,0.705952585,0.0983603,1.174267054,0.908147573,-0.042938665,64.8089447,0.783237457,0.816621482,8.924805641,1.972316742,320
2020,Italy,West Europe,30,6.38740015,0.043288074,6.302555561,6.47224474,2.249505997,0.321305573,1.236396074,0.170266211,1.022504926,0.040145598,1.347296,0.66465199,-0.043460999,73.60168457,0.873404682,0.889878571,10.48183632,1.972316742,380
2020,Singapore,Southeast Asia,31,6.377099991,0.033258967,6.311912537,6.442287445,0.937031746,0.635317206,1.519580126,0.218770906,1.137814283,0.533162236,1.39545691,0.926645339,0.029879224,76.80458069,0.109784193,0.910268962,11.39552116,1.972316742,702
2020,Brazil,Latin America and Caribbean,32,6.375599861,0.040790688,6.295650005,6.455549717,2.571860313,0.483292729,0.952679873,0.131674588,0.766119063,0.106518604,1.363464117,0.799804807,-0.101812392,66.48016357,0.770601273,0.896723807,9.56643486,1.972316742,76
2020,Slovenia,Central and East Europe,33,6.363399982,0.043841314,6.277471066,6.449328899,1.888586521,0.646700144,1.208652496,0.145701498,0.932548046,0.076516323,1.464677691,0.936142623,-0.080603383,71.1029892,0.817071021,0.939575672,10.39232254,1.972316742,705
2020,El Salvador,Latin America and Caribbean,34,6.34829998,0.058248438,6.234133244,6.462466717,2.937191725,0.524043918,0.748940408,0.1189363,0.752730012,0.117030352,1.149397612,0.833805263,-0.121072978,66.10826111,0.754319906,0.806092262,8.909075737,1.972316742,222
2020,Kosovo,Central and East Europe,35,6.325200081,0.052216277,6.222856045,6.427544117,2.736902714,0.557280421,0.840481341,0.325286865,0.672709167,0.008559024,1.183962822,0.861535907,0.190933764,63.88555527,0.922328293,0.820726514,9.204429626,1.972316742,NA
2020,Panama,Latin America and Caribbean,36,6.304800034,0.059724931,6.187739372,6.421860695,2.221176147,0.57984978,1.097667813,0.097207308,0.878546536,0.054230526,1.376149297,0.880366504,-0.153927714,69.60301208,0.851588905,0.902094483,10.03423405,1.972316742,591
2020,Slovakia,Central and East Europe,37,6.280600071,0.03889757,6.204360962,6.35683918,2.256422043,0.423542529,1.194837689,0.116729774,0.853465259,0.011291441,1.424331188,0.749952674,-0.124409303,68.90634155,0.918096125,0.922493756,10.34774971,1.972316742,703
2020,Uzbekistan,Central and East Europe,38,6.257599831,0.05422755,6.151313782,6.36388588,2.073346615,0.693270326,0.696652949,0.363311023,0.716703713,0.280260265,1.434020042,0.974998116,0.248427153,65.10757446,0.501497388,0.926595807,8.740371704,1.972316742,860
2020,Chile,Latin America and Caribbean,39,6.228499889,0.045723889,6.138881207,6.318118572,2.283012867,0.417482227,1.096992493,0.155579001,0.889260828,0.06284935,1.323286891,0.744896293,-0.065668367,69.90061951,0.838239431,0.879713595,10.0320549,1.972316742,152
2020,Bahrain,Middle East and North Africa,40,6.227300167,0.081882261,6.066811085,6.387789249,1.751917362,0.610399902,1.296692252,0.287453711,0.838836372,0.126697257,1.31532371,0.905855775,0.13372919,68.5,0.7393471,0.876342118,10.67638016,1.972316742,48
2020,Lithuania,Central and East Europe,41,6.215499878,0.044193108,6.128881454,6.302118301,2.238146067,0.42046079,1.193559647,0.053691041,0.795421183,0.081350274,1.432865739,0.747381449,-0.219725296,67.29407501,0.809583843,0.926107109,10.34362602,1.972316742,440
2020,Trinidad and Tobago,Latin America and Caribbean,42,6.191899776,0.114448458,5.967580795,6.416218758,2.190695763,0.55293113,1.167641521,0.199358255,0.658828557,0.015078396,1.407326221,0.857907116,5.26841e-4,63.5,0.912230611,0.91529417,10.26000214,1.972316742,780
2020,Poland,Central and East Europe,43,6.186299801,0.035500165,6.116719246,6.255880356,2.056797981,0.557903528,1.16922915,0.063374244,0.868038476,0.160541251,1.310399771,0.862055779,-0.205084071,69.31113434,0.686927021,0.874257445,10.26512432,1.972316742,616
2020,Colombia,Latin America and Caribbean,44,6.163400173,0.056480873,6.052697659,6.274102688,2.421656609,0.526890039,0.93220371,0.092374094,0.810020149,0.04584837,1.33445096,0.836179912,-0.161235645,67.69958496,0.86457181,0.884440243,9.500369072,1.972316742,170
2020,Cyprus,West Europe,45,6.15899992,0.050605938,6.059812069,6.258187771,2.032334805,0.459385872,1.21279943,0.227932334,1.026124597,0.051207144,1.149170756,0.779858291,0.043731496,73.70222473,0.856271744,0.805996239,10.40570259,1.972316742,196
2020,Nicaragua,Latin America and Caribbean,46,6.13710022,0.063886963,6.011881828,6.262318611,2.496081114,0.560117304,0.620033145,0.212871477,0.803093255,0.174084574,1.27081275,0.863902867,0.020959141,67.50717926,0.665950119,0.857497036,8.493160248,1.972316742,558
2020,Romania,Central and East Europe,47,6.123700142,0.047432564,6.030732155,6.216668129,2.412749767,0.534852326,1.120401621,0.068181619,0.79229486,8.29569e-4,1.1944381,0.842823207,-0.19781521,67.20723724,0.934300244,0.825161517,10.107584,1.972316742,642
2020,Kuwait,Middle East and North Africa,48,6.102099895,0.053297732,5.997636318,6.206563473,1.840167999,0.570261419,1.424833655,0.132751092,0.776468933,0.112814933,1.244779825,0.872366488,-0.100184701,66.76764679,0.760849059,0.846475244,11.08982468,1.972316742,414
2020,Mauritius,Sub-Saharan Africa,49,6.101299763,0.057226494,5.989135742,6.213463783,2.006720543,0.590838134,1.07366395,0.186894551,0.763389409,0.084088229,1.395666838,0.889534533,-0.018318573,66.40434265,0.805343091,0.910357833,9.956786156,1.972316742,480
2020,Kazakhstan,Central and East Europe,50,6.057899952,0.043229785,5.973169804,6.1426301,2.021602631,0.497432142,1.122594237,0.153713793,0.698788941,0.110463686,1.453267694,0.811601937,-0.068488635,64.60996246,0.764490843,0.934744895,10.11465836,1.972316742,398
2020,Estonia,Central and East Europe,51,6.021800041,0.035985194,5.95126915,6.092330933,1.629928112,0.576664805,1.192441225,0.125136748,0.842615008,0.201766819,1.453232527,0.87770915,-0.111697771,68.60495758,0.623073816,0.934729993,10.34001732,1.972316742,233
2020,Philippines,Southeast Asia,52,6.006000042,0.049858402,5.908277512,6.103722572,2.501741886,0.621915162,0.775120676,0.129260212,0.602189481,0.130385727,1.245381713,0.915463448,-0.105463006,61.92676163,0.733634114,0.846730053,8.993545532,1.972316742,608
2020,Hungary,Central and East Europe,53,6.000400066,0.039473221,5.923032761,6.077767372,2.121845722,0.386401802,1.164307117,0.070491239,0.806793869,0.027548173,1.423009396,0.718964577,-0.194323018,67.60997009,0.892916501,0.921934128,10.24924374,1.972316742,348
2020,Thailand,Southeast Asia,54,5.998799801,0.042596295,5.91531086,6.082288742,1.832384109,0.609449804,1.007029295,0.376709014,0.793855846,0.031837862,1.347519517,0.905063033,0.268685192,67.25059509,0.886272311,0.889973223,9.741791725,1.972316742,764
2020,Argentina,Latin America and Caribbean,55,5.974699974,0.053441759,5.869954109,6.079445839,2.072540998,0.520840347,1.028465629,0.070100471,0.849773705,0.060415059,1.372543693,0.831132412,-0.194913864,68.80380249,0.842009842,0.900567949,9.810955048,1.972316742,32
2020,Honduras,Latin America and Caribbean,56,5.953199863,0.065731592,5.824366093,6.082033634,2.464295387,0.568148077,0.598763585,0.256528199,0.791989982,0.086807102,1.186664104,0.870603263,0.086969115,67.19876862,0.801131904,0.821870148,8.424534798,1.972316742,340
2020,Latvia,Central and East Europe,57,5.949999809,0.034838136,5.881717205,6.018282413,2.121283054,0.329198807,1.14139545,0.075407945,0.777902424,0.090391524,1.414398789,0.671237648,-0.186888844,66.8074646,0.795580089,0.918288589,10.17531967,1.972316742,428
